rule_id,is_active,priority,txn_kind,fingerprint,description_clean_norm,account_name,source,direction,currency,amount_bucket,payee_canonical,category_target,notes
bit_72,True,0,,bit,,,,,,,Rehovot apartment,Loans and transfers,bootstrap count=1
bit_73,True,0,,bit,,,,,,,Roee seminar,Aikido,bootstrap count=1
bit_74,True,0,,bit,,,,,,,Salon Table,House and stuff,bootstrap count=1
bit_75,True,0,,bit,,,,,,,Sayarut food,Chugim,bootstrap count=1
bit_76,True,0,,bit,,,,,,,Shai Aikido,Aikido,bootstrap count=1
bit_77,True,0,,bit,,,,,,,Strawberries,🛍️Groceries,bootstrap count=1
bit_78,True,0,,bit,,,,,,,Supermarket,Summer 2025,bootstrap count=1
bit_79,True,0,,bit,,,,,,,Tania Massage,Medical,bootstrap count=1
bit_80,True,0,,bit,,,,,,,Tunisian sandwhich,Going out and restaurants,bootstrap count=1
bit_81,True,0,,bit,,,,,,,Vaad Horim,School 2500 Dec,bootstrap count=1
bit_82,True,0,,bit,,,,,,,Vegetables Chen,🛍️Groceries,bootstrap count=1
bit_83,True,0,,bit,,,,,,,Yarden Mom,Mikael,bootstrap count=1
bit_84,True,0,,bit,,,,,,,Yehuda Computer repair,Unplanned extra expense,bootstrap count=1
bit_85,True,0,,bit,,,,,,,Yoga,Chugim,bootstrap count=1
bordo_86,True,0,,bordo,,,,,,,Bordo,Going out and restaurants,bootstrap count=1
cafe_nook_87,True,0,,cafe nook,,,,,,,Cafe nook Rehobot,Opher food,bootstrap count=1
carbon_grip_88,True,0,,carbon grip,,,,,,,Carbon grip climbing shop,🛍️Groceries,bootstrap count=1
cello_89,True,0,,cello,,,,,,,Cello park,Transportation,bootstrap count=33
citygate_sofia_transit_sofia_90,True,0,,citygate sofia transit sofia,,,,,,,Sofia transport,Bulgaria July 2025,bootstrap count=6
codespark_academy_91,True,0,,codespark academy,,,,,,,Codespark academy,Software Subscriptions,bootstrap count=2
david_martin_adv_92,True,0,,david martin adv,,,,,,,David Marten Lawyer,Investment income and expenses,bootstrap count=1
decathlon_93,True,0,,decathlon,,,,,,,Decathlon,House and stuff,bootstrap count=8
decathlon_94,True,0,,decathlon,,,,,,,Decathlon,Bulgaria July 2025,bootstrap count=5
decathlon_95,True,0,,decathlon,,,,,,,Decathalon,Clothing,bootstrap count=3
decathlon_96,True,0,,decathlon,,,,,,,Decathlon,Clothing,bootstrap count=3
decathlon_97,True,0,,decathlon,,,,,,,Decathlon,Opher food,bootstrap count=2
decathlon_98,True,0,,decathlon,,,,,,,Isshin Aikido,Aikido,bootstrap count=1
duty_free_99,True,0,,duty free,,,,,,,Duty free,Bulgaria July 2025,bootstrap count=2
duty_free_100,True,0,,duty free,,,,,,,Duty free,Gifts,bootstrap count=1
